id,service_type_id/id,reference,sequence,name,employee_role_id,lead_time,time_allocation,stage_id/id,activity_type_id
A1.1,crm_attooh.prelim_fin_planning,A1.1,1,Capture & Qualify leads,Financial Advisor,4,0.08,crm_attooh.stage_preparation,To Do
A1.2,crm_attooh.prelim_fin_planning,A1.2,2,Schedule Appointment,Diary Clerk,48,0,crm_attooh.stage_preparation,To Do
A1.3,crm_attooh.prelim_fin_planning,A1.3,3,Thank referring party,New Business Clerk,0.17,0.17,crm_attooh.stage_preparation,To Do
A1.4,crm_attooh.prelim_fin_planning,A1.4,4,Personal info to fill online/ hard copy,Client,72,0,crm_attooh.stage_preparation,To Do
A1.5,crm_attooh.prelim_fin_planning,A1.5,5,"Draw schedules from Astute, 3rd party",New Business Clerk,24,0.33,crm_attooh.stage_preparation,To Do
A1.6,crm_attooh.prelim_fin_planning,A1.6,6,Reminder Confirm meeting,New Business Clerk,24,0.17,crm_attooh.stage_preparation,To Do
A1.7,crm_attooh.prelim_fin_planning,A1.7,7,Prepare for client meeting at office,New Business Clerk,0.5,0.5,crm_attooh.stage_preparation,To Do
A2.1,crm_attooh.prelim_fin_planning,A2.1,8,Define client needs - Personal info to fill online/ hard copy (if not received),Financial Advisor,24,1.5,crm_attooh.stage_first_engagement,To Do
A2.2,crm_attooh.prelim_fin_planning,A2.2,9,Send decision and thank you letter - 3 templates,New Business Clerk,48,0.17,crm_attooh.stage_first_engagement,To Do
A3,crm_attooh.prelim_fin_planning,A3,10,Analysis and Proposal,,72,0,crm_attooh.stage_proposal,To Do
A3.1,crm_attooh.prelim_fin_planning,A3.1,11,Send client fee and mandate proposal,Financial Advisor,24,0.5,crm_attooh.stage_proposal,To Do
A3.2,crm_attooh.prelim_fin_planning,A3.2,12,Client accepts or rejects. If rejected close case,Client,0,0,crm_attooh.stage_proposal,To Do
A3.3,crm_attooh.prelim_fin_planning,A3.3,13,Send out fee agreement invoice,New Business Clerk,72,0.17,crm_attooh.stage_proposal,To Do
A3.4,crm_attooh.prelim_fin_planning,A3.4,14,Set up second appointment,Diary Clerk,0,0.25,crm_attooh.stage_proposal,To Do
A3.5,crm_attooh.prelim_fin_planning,A3.5,15,Capture Personal & FNA information on system,Paraplanner,0,1.5,crm_attooh.stage_proposal,To Do
A3.6,crm_attooh.prelim_fin_planning,A3.6,16,Prepare product quotes,Paraplanner,72,1,crm_attooh.stage_proposal,To Do
A4.1,crm_attooh.prelim_fin_planning,A4.1,17,Confirm appointment,Diary Clerk,48,0.17,crm_attooh.stage_compliance,To Do
A4.2,crm_attooh.prelim_fin_planning,A4.2,18,Advisor meets client to close,Financial Advisor,24,1,crm_attooh.stage_compliance,To Do
A4.3,crm_attooh.prelim_fin_planning,A4.3,19,Based on close - thank you mail to client,New Business Clerk,120,0.25,crm_attooh.stage_compliance,To Do
RP1.1,crm_attooh.review,RP1.1,20,Schedule Appointment (Yes/No),Diary Clerk,0.5,0.25,crm_attooh.stage_preparation,To Do
RP1.2,crm_attooh.review,RP1.2,21,Send email invite with agenda,Diary Clerk,0.5,0.17,crm_attooh.stage_preparation,To Do
RP1.3,crm_attooh.review,RP1.3,22,Request updated informaiton sheet,Client,0.02,0.33,crm_attooh.stage_preparation,To Do
RP1.4,crm_attooh.review,RP1.4,23,"Draw schedules from Astute, 3rd party",Paraplanner,24,1,crm_attooh.stage_preparation,To Do
RP1.5,crm_attooh.review,RP1.5,24,Revise Financial plan from previous engagement,Paraplanner,24,1,crm_attooh.stage_preparation,To Do
RP1.6,crm_attooh.review,RP1.6,25,Reminder Confirm meeting - System,Diary Clerk,72,0.17,crm_attooh.stage_preparation,To Do
RP1.7,crm_attooh.review,RP1.7,26,Prepare for client meeting at office,New Business Clerk,24,0.5,crm_attooh.stage_preparation,To Do
RP2.1,crm_attooh.review,RP2.1,27,"Review client needs, Personal & FNA info to update online/ hard copy (if not received)",Financial Advisor,24,1.5,crm_attooh.stage_first_engagement,To Do
RP3.1,crm_attooh.review,RP3.1,28,Set up Second Appointment if applicable,Diary Clerk,24,0.25,crm_attooh.stage_proposal,To Do
RP3.2,crm_attooh.review,RP3.2,29,Update Personal & FNA information on system & FNA,Paraplanner,24,1.5,crm_attooh.stage_proposal,To Do
RP3.3,crm_attooh.review,RP3.3,30,Prepare product alteration quotes,Paraplanner,72,1,crm_attooh.stage_proposal,To Do
RP4.1,crm_attooh.review,RP4.1,31,Confirm appointment,Diary Clerk,24,0.17,crm_attooh.stage_second_engagement,To Do
RP4.2,crm_attooh.review,RP4.2,32,Advisor meet client to close if applicable,Financial Advisor,24,1,crm_attooh.stage_second_engagement,To Do
RP4.3,crm_attooh.review,RP4.3,33,Based on close (Yes/ No) thank you email to client,New Business Clerk,0.5,0.25,crm_attooh.stage_second_engagement,To Do
R1.1,crm_attooh.risk,R1.1,34,Quality check apps,New Business Clerk,0.5,0.5,crm_attooh.stage_submission,To Do
R1.2,crm_attooh.risk,R1.2,35,Note for replacement & file (yes/no),New Business Clerk,0.5,0.17,crm_attooh.stage_submission,To Do
R1.3,crm_attooh.risk,R1.3,36,Collect documentation from client/self upload on system,New Business Clerk,0.1,0.17,crm_attooh.stage_submission,To Do
R1.4,crm_attooh.risk,R1.4,37,Submit documents and app to product vendor,New Business Clerk,8,0.17,crm_attooh.stage_submission,To Do
R1.5,crm_attooh.risk,R1.5,38,"Email ""next steps"" email to client",New Business Clerk,1,0.25,crm_attooh.stage_submission,To Do
R1.6,crm_attooh.risk,R1.6,39,Update production book,New Business Clerk,1,0.33,crm_attooh.stage_submission,To Do
R1.7,crm_attooh.risk,R1.7,40,"Check, capture and action medical requirements",New Business Clerk,48,0.33,crm_attooh.stage_submission,To Do
R1.8,crm_attooh.risk,R1.8,41,Insert date and time of medical appointment,New Business Clerk,24,0.17,crm_attooh.stage_submission,To Do
R1.9,crm_attooh.risk,R1.9,42,SMS medical app reminder to client,New Business Clerk,0.1,0,crm_attooh.stage_submission,To Do
R1.10,crm_attooh.risk,R1.10,43,Additional requirements (yes/no),New Business Clerk,72,0.33,crm_attooh.stage_submission,To Do
R1.11,crm_attooh.risk,R1.11,44,"*Outcome: Accepted, COL, defer or decline?",New Business Clerk,,0,crm_attooh.stage_submission,To Do
R2.1,crm_attooh.risk,R2.1,45,"Confirm documents, terms, cover and update production book",New Business Clerk,0.15,0.75,crm_attooh.stage_compliance,To Do
R2.2,crm_attooh.risk,R2.2,46,"If correct - ""thank you"" mail to client",New Business Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
R2.3,crm_attooh.risk,R2.3,47,Reminder on replacement (if applicable),Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
R2.4,crm_attooh.risk,R2.4,48,If replacement - Submit cancellation instruction,Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
R2.5,crm_attooh.risk,R2.5,49,When cancelled - Confirm cancellation to client,Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
R2.6,crm_attooh.risk,R2.6,50,Compliance upload and mail to client,New Business Clerk,0.15,0.5,crm_attooh.stage_compliance,To Do
I1.1,crm_attooh.investment,I1.1,51,Quality check apps,New Business Clerk,0.5,0.5,crm_attooh.stage_submission,To Do
I1.2,crm_attooh.investment,I1.2,52,Note for replacement & file (yes/no),New Business Clerk,0.5,0.17,crm_attooh.stage_submission,To Do
I1.4,crm_attooh.investment,I1.4,53,Submit documents and app to product vendor,New Business Clerk,8,0.17,crm_attooh.stage_submission,To Do
I1.5,crm_attooh.investment,I1.5,54,Update production book,New Business Clerk,1,0.33,crm_attooh.stage_submission,To Do
I1.6,crm_attooh.investment,I1.6,55,Confirm transfer of funds to investment house,New Business Clerk,1,0.33,crm_attooh.stage_submission,To Do
I1.7,crm_attooh.investment,I1.7,56,Send confirmation of investment to client,New Business Clerk,1,0.17,crm_attooh.stage_submission,To Do
I2.1,crm_attooh.investment,I2.1,57,"Confirm documents, terms, cover and update production book",New Business Clerk,0.15,0.75,crm_attooh.stage_compliance,To Do
I2.2,crm_attooh.investment,I2.2,58,"If correct - ""thank you"" mail to client",New Business Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
I2.3,crm_attooh.investment,I2.3,59,Reminder on replacement (if applicable),Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
I2.4,crm_attooh.investment,I2.4,60,If replacement - Submit cancellation instruction,Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
I2.5,crm_attooh.investment,I2.5,61,When cancelled - Confirm cancellation to client,Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
I2.6,crm_attooh.investment,I2.6,62,Compliance upload and mail to client,New Business Clerk,0.15,0.5,crm_attooh.stage_compliance,To Do
S1.6,crm_attooh.section14,S1.6,63,Submit documents to transferring and receiving company,New Business Clerk,168,0.17,crm_attooh.stage_submission,To Do
S1.7,crm_attooh.section14,S1.7,64,Confirm transferring company sent Form H to receiving company trustees,New Business Clerk,336,0.17,crm_attooh.stage_submission,To Do
S1.8,crm_attooh.section14,S1.8,65,Confirm receiving company returns signed Form H to transferring company,New Business Clerk,336,0.17,crm_attooh.stage_submission,To Do
S1.9,crm_attooh.section14,S1.9,66,Confirms transferring company sends Form J to receiving company to complete,New Business Clerk,336,0.17,crm_attooh.stage_submission,To Do
S1.10,crm_attooh.section14,S1.10,67,Confirms transferring company to transfer funds and send ROT to receiving company,New Business Clerk,98,0.17,crm_attooh.stage_submission,To Do
S1.11,crm_attooh.section14,S1.11,68,Confirm receiving company signs Form J and sends to transferring company,New Business Clerk,98,0.17,crm_attooh.stage_submission,To Do
S1.12,crm_attooh.section14,S1.12,69,Confirm Funds invested by receiving company and policy schedule issued,New Business Clerk,24,0.17,crm_attooh.stage_submission,To Do
S1.13,crm_attooh.section14,S1.13,70,Update production book,New Business Clerk,2,0.17,crm_attooh.stage_submission,To Do
S1.14,crm_attooh.section14,S1.14,71,Confirm transfer of funds to investment house,New Business Clerk,24,0.17,crm_attooh.stage_submission,To Do
S1.15,crm_attooh.section14,S1.15,72,Send confirmation of transfer to client,New Business Clerk,2,0.17,crm_attooh.stage_submission,To Do
S2.1,crm_attooh.section14,S2.1,73,"Confirm documents, terms, cover and update production book",New Business Clerk,0.25,0.75,crm_attooh.stage_compliance,To Do
